Issue,customfield_10731,customfield_10120,customfield_10121,customfield_10630,customfield_10122,customfield_10830,customfield_10123,customfield_10100,customfield_10126
IMPORT-564,1127177794711,rsv,RSV,02,35190,RSV_batch1,RSVSP_RSV_00054,00054,
IMPORT-563,1127177794710,rsv,RSV,02,35189,RSV_batch1,RSVSP_RSV_00051,00051,
IMPORT-560,1127177794709,rsv,RSV,02,35188,RSV_batch1,RSVSP_RSV_00050,00050,
IMPORT-559,1127177794708,rsv,RSV,02,35187,RSV_batch1,RSVSP_RSV_00043,00043,
IMPORT-558,1127177794707,rsv,RSV,02,35186,RSV_batch1,RSVSP_RSV_00042,00042,
IMPORT-557,1127177794706,rsv,RSV,02,35185,RSV_batch1,RSVSP_RSV_00035,00035,
IMPORT-556,1127177794705,rsv,RSV,02,35184,RSV_batch1,RSVSP_RSV_00034,00034,
IMPORT-555,1127177794704,rsv,RSV,02,35183,RSV_batch1,RSVSP_RSV_00031,00031,
IMPORT-554,1127177794703,rsv,RSV,02,35182,RSV_batch1,RSVSP_RSV_00030,00030,
IMPORT-553,1127177794702,rsv,RSV,02,35181,RSV_batch1,RSVSP_RSV_00022,00022,
IMPORT-552,1127177794701,rsv,RSV,02,35180,RSV_batch1,RSVSP_RSV_00021,00021,
IMPORT-551,1127177794700,rsv,RSV,02,35179,RSV_batch1,RSVSP_RSV_00020,00020,
IMPORT-550,1127177794699,rsv,RSV,02,35178,RSV_batch1,RSVSP_RSV_00019,00019,
IMPORT-549,1127177794698,rsv,RSV,02,35177,RSV_batch1,RSVSP_RSV_00018,00018,
IMPORT-548,1127177794697,rsv,RSV,02,35176,RSV_batch1,RSVSP_RSV_00017,00017,
IMPORT-547,1127177794696,rsv,RSV,02,35175,RSV_batch1,RSVSP_RSV_00079,00079,
IMPORT-546,1127177794695,rsv,RSV,02,35174,RSV_batch1,RSVSP_RSV_00078,00078,
IMPORT-545,1127177794694,rsv,RSV,02,35173,RSV_batch1,RSVSP_RSV_00074,00074,
IMPORT-544,1127177794693,rsv,RSV,02,35172,RSV_batch1,RSVSP_RSV_00073,00073,
IMPORT-543,1127177794692,rsv,RSV,02,35171,RSV_batch1,RSVSP_RSV_00072,00072,
IMPORT-542,1127177794691,rsv,RSV,02,35170,RSV_batch1,RSVSP_RSV_00071,00071,
IMPORT-541,1127177794690,rsv,RSV,02,35169,RSV_batch1,RSVSP_RSV_00070,00070,
IMPORT-540,1127177794689,rsv,RSV,02,35168,RSV_batch1,RSVSP_RSV_00069,00069,
IMPORT-539,1127177794688,rsv,RSV,02,35167,RSV_batch1,RSVSP_RSV_00047,00047,
IMPORT-538,1127177794687,rsv,RSV,02,35166,RSV_batch1,RSVSP_RSV_00046,00046,
IMPORT-537,1127177794686,rsv,RSV,02,35165,RSV_batch1,RSVSP_RSV_00016,00016,
IMPORT-536,1127177794685,rsv,RSV,02,35164,RSV_batch1,RSVSP_RSV_00015,00015,
IMPORT-535,1127177794684,rsv,RSV,02,35163,RSV_batch1,RSVSP_RSV_00014,00014,
IMPORT-534,1127177794683,rsv,RSV,02,35162,RSV_batch1,RSVSP_RSV_00013,00013,
IMPORT-533,1127177794682,rsv,RSV,02,35161,RSV_batch1,RSVSP_RSV_00012,00012,
IMPORT-532,1127177794681,rsv,RSV,02,35160,RSV_batch1,RSVSP_RSV_00011,00011,
IMPORT-531,1127177794680,rsv,RSV,02,35159,RSV_batch1,RSVSP_RSV_00008,00008,
IMPORT-530,1127177794679,rsv,RSV,02,35158,RSV_batch1,RSVSP_RSV_00007,00007,
IMPORT-529,1125546729485,rsv,RSV,01,34626,RSV_batch1,RSVSP_RSV_00041,00041,
IMPORT-528,1125546729484,rsv,RSV,01,34625,RSV_batch1,RSVSP_RSV_00029,00029,
